rid,uid,role,feature,benefit,novelty_avg,ustories,stories
13,home owner,"my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof)",my home is comfortable and energy-efficient when the weather is cold outside.,Energy,2.0,"my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof) my home is comfortable and energy-efficient when the weather is cold outside. energy","['calculate', 'heat', 'source', 'best', 'ductless', 'heat', 'pump', 'regular', 'furnace', 'space', 'heater', 'combination', 'therof', 'comfortable', 'energy-efficient', 'weather', 'cold', 'outside', 'energy']"
17,home occupant,hallway motion detectors,safety is increased,Safety,4.0,hallway motion detectors safety is increased safety,"['hallway', 'motion', 'detector', 'safety', 'increase', 'safety']"
5,home occupant,"my smart home to sync all Christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time",it's more convenient for me,Other,3.3333,"my smart home to sync all christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time it's more convenient for me other","['sync', 'christmas-related', 'light', 'indoor', 'outdoor', 'turn', 'appropriate', 'time', 'convenient']"
5,home occupant,"my smart home to notify me when a box has been delivered at my home, preferably with the packaging information from the label",I can get easy status updates on package delivery,Other,4.0,"my smart home to notify me when a box has been delivered at my home, preferably with the packaging information from the label i can get easy status updates on package delivery other","['notify', 'box', 'deliver', 'preferably', 'packaging', 'information', 'label', 'get', 'easy', 'status', 'update', 'package', 'delivery']"
17,home occupant,automatic fragrance sprinkler,"as soon as it detects bad odour, it gets activated",Entertainment,4.5,"automatic fragrance sprinkler as soon as it detects bad odour, it gets activated entertainment","['fragrance', 'sprinkler', 'soon', 'detects', 'bad', 'odour', 'get', 'activate', 'entertainment']"
13,home owner,"my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc.)",I will be comfortable during hot days.,Energy,3.6667,"my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc.) i will be comfortable during hot days. energy","['analyze', 'recommend', 'best', 'source', 'cool', 'air', 'conditioning', 'window', 'fan', 'ceiling', 'fan', 'ductless', 'heat', 'pump', 'comfortable', 'hot', 'day', 'energy']"
9,home owner,a Carbon Monoxide detector ,my family is always kept safe from dangerous gasses ,Safety,4.0,a carbon monoxide detector  my family is always kept safe from dangerous gasses  safety,"['carbon', 'monoxide', 'detector', 'family', 'always', 'kept', 'safe', 'dangerous', 'gas', 'safety']"
17,parent,automated sharp furniture sensors,"if my child nears such places, alarm goes off",Safety,3.5,"automated sharp furniture sensors if my child nears such places, alarm goes off safety","['automate', 'sharp', 'furniture', 'sensor', 'child', 'nears', 'place', 'alarm', 'go', 'safety']"
13,home owner,"my smart home to monitor anyone near my home's doors, windows, etc. and notify me if there is someone there who does not live in the home",I will be informed quickly if a potential intruder is at my home.,Safety,3.0,"my smart home to monitor anyone near my home's doors, windows, etc. and notify me if there is someone there who does not live in the home i will be informed quickly if a potential intruder is at my home. safety","['monitor', 'anyone', 'door', 'window', 'notify', 'someone', 'live', 'inform', 'quickly', 'potential', 'intruder', 'safety']"
17,pet owner,automated food bowl,it automatically replenishes itself at lunch time of pet,Health,2.25,automated food bowl it automatically replenishes itself at lunch time of pet health,"['automate', 'food', 'bowl', 'replenishes', 'lunch', 'time', 'pet', 'health']"
9,cook,Smart appliances that give me relevant information on the food i'm cooking,Food always gets cooked as much as it's needed,Health,4.0,smart appliances that give me relevant information on the food i'm cooking food always gets cooked as much as it's needed health,"['appliance', 'give', 'relevant', 'information', 'food', ""'m"", 'cooking', 'food', 'always', 'get', 'cooked', 'much', 'need', 'health']"
26,pet owner,to be notified via smartwatch application by my smarthome when my pet's water container is low,so that my pet will always be hydrated and better taken care of. ,Health,4.0,to be notified via smartwatch application by my smarthome when my pet's water container is low so that my pet will always be hydrated and better taken care of.  health,"['notify', 'smartwatch', 'application', 'smarthome', 'pet', 'water', 'container', 'low', 'pet', 'always', 'hydrate', 'well', 'take', 'care', 'health']"
17,home occupant,temprature sensors,temprature of house remains constant,Health,3.3333,temprature sensors temprature of house remains constant health,"['temprature', 'sensor', 'temprature', 'remains', 'constant', 'health']"
13,home occupant,my smart home to inform me of any weather alerts for my area,"I can be warned of potential weather issues such as snow, high winds, etc.",Safety,1.6667,"my smart home to inform me of any weather alerts for my area i can be warned of potential weather issues such as snow, high winds, etc. safety","['inform', 'weather', 'alert', 'area', 'warn', 'potential', 'weather', 'issue', 'snow', 'high', 'wind', 'safety']"
9,home resident,my smart home to have video camera's outside my home,I always know who is at my door before checking,Safety,3.0,my smart home to have video camera's outside my home i always know who is at my door before checking safety,"['video', 'camera', 'outside', 'always', 'know', 'door', 'check', 'safety']"
9,consumer,my smart home to provide news and updates on my hobbies,I can easily learn about new products I may be interested in,Entertainment,4.3333,my smart home to provide news and updates on my hobbies i can easily learn about new products i may be interested in entertainment,"['provide', 'news', 'update', 'hobby', 'easily', 'learn', 'new', 'product', 'interested', 'entertainment']"
26,plant owner,to be notified by my smarthome when my plant's soil becomes too dry ,so that I can prevent my plant from dying and therefore saving money by not having to keep purchasing new plants.,Health,5.0,to be notified by my smarthome when my plant's soil becomes too dry  so that i can prevent my plant from dying and therefore saving money by not having to keep purchasing new plants. health,"['notify', 'smarthome', 'plant', 'soil', 'becomes', 'dry', 'prevent', 'plant', 'die', 'therefore', 'save', 'money', 'keep', 'purchasing', 'new', 'plant', 'health']"
9,person with back pain,my bed to come with smart features that allow me to control comfort,I get the best night's sleep I can have,Health,4.5,my bed to come with smart features that allow me to control comfort i get the best night's sleep i can have health,"['bed', 'come', 'feature', 'allow', 'control', 'comfort', 'get', 'best', 'night', 'sleep', 'health']"
13,person who wants to stay healthy,my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed,so that I can be proactive and consider visiting a doctor or dentist to have the issue reviewd.,Health,3.0,my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed so that i can be proactive and consider visiting a doctor or dentist to have the issue reviewd. health,"['monitor', 'body', 'inform', 'daily', 'weekly', 'potential', 'health', 'concern', 'notice', 'proactive', 'consider', 'visit', 'doctor', 'dentist', 'issue', 'reviewd', 'health']"
17,home occupant,automated music system ,it automatically detects my mood and plays background music according to it.,Entertainment,3.3333,automated music system  it automatically detects my mood and plays background music according to it. entertainment,"['automate', 'music', 'system', 'detects', 'mood', 'play', 'music', 'accord', 'entertainment']"
26,home owner,"to be notified by my smarthome when my energy consumption (electricity, gas) is higher than usual",I can adjust accordingly and save money on energy bills.,Energy,3.3333,"to be notified by my smarthome when my energy consumption (electricity, gas) is higher than usual i can adjust accordingly and save money on energy bills. energy","['notify', 'smarthome', 'energy', 'consumption', 'electricity', 'gas', 'high', 'usual', 'adjust', 'accordingly', 'save', 'money', 'energy', 'bill', 'energy']"
13,person who wants to stay healthy,"my smart home to make daily recommendations of activities or foods that are good for me, i.e. ""the weather is perfect for a nice walk today""","I can be reminded of my health goals, and good ways to achieve them.",Health,3.5,"my smart home to make daily recommendations of activities or foods that are good for me, i.e. ""the weather is perfect for a nice walk today"" i can be reminded of my health goals, and good ways to achieve them. health","['make', 'daily', 'recommendation', 'activity', 'food', 'good', 'i.e', 'perfect', 'nice', 'walk', 'today', 'remind', 'health', 'goal', 'good', 'way', 'achieve', 'health']"
26,home owner,to be alerted when a window is smashed or forced opened from outside the house,I can prepare for an intruder and call the police. ,Safety,3.0,to be alerted when a window is smashed or forced opened from outside the house i can prepare for an intruder and call the police.  safety,"['alert', 'window', 'smash', 'force', 'open', 'prepare', 'intruder', 'call', 'police', 'safety']"
17,parent,socket adapters,accidental shocks are avoided,Safety,4.0,socket adapters accidental shocks are avoided safety,"['socket', 'adapter', 'accidental', 'shock', 'avoid', 'safety']"
22,home owner,to control my stovetops with my smartphone or tablet ,if i am in another room and need to lower the temperature I am able to do that,Safety,4.0,to control my stovetops with my smartphone or tablet  if i am in another room and need to lower the temperature i am able to do that safety,"['control', 'stovetops', 'smartphone', 'tablet', 'room', 'need', 'low', 'temperature', 'able', 'safety']"
26,music appreciator,the ability to listen to my music in every room in the house simultaneously,parties will be funner and my party guests will be better entertained.,Entertainment,4.5,the ability to listen to my music in every room in the house simultaneously parties will be funner and my party guests will be better entertained. entertainment,"['ability', 'listen', 'music', 'room', 'simultaneously', 'party', 'funner', 'party', 'guest', 'well', 'entertain', 'entertainment']"
22,home owner,to be able to control the oven with an app on my smartphone or tablet,I may preheat the oven from another room or lower the temperature if needed without having to go to the actual appliance,Safety,5.0,to be able to control the oven with an app on my smartphone or tablet i may preheat the oven from another room or lower the temperature if needed without having to go to the actual appliance safety,"['able', 'control', 'oven', 'app', 'smartphone', 'tablet', 'preheat', 'room', 'low', 'temperature', 'need', 'go', 'actual', 'appliance', 'safety']"
13,person who needs sleep,"my smart home to make my bedroom the optimal temperature and lighting both when I go to sleep, and when I awaken",I will have the optimal conditions for a good night's sleep.,Health,3.0,"my smart home to make my bedroom the optimal temperature and lighting both when i go to sleep, and when i awaken i will have the optimal conditions for a good night's sleep. health","['make', 'bedroom', 'optimal', 'temperature', 'light', 'go', 'sleep', 'awaken', 'optimal', 'condition', 'good', 'night', 'sleep', 'health']"
17,home occupant,outdoor motion sensors,Trespassers can be identified,Safety,4.0,outdoor motion sensors trespassers can be identified safety,"['outdoor', 'motion', 'sensor', 'trespasser', 'identify', 'safety']"
22,home owner,to be able to open the garage door with my smartphone/tablet,I don't have to go down to the garage to close it if I forget ,Safety,4.0,to be able to open the garage door with my smartphone/tablet i don't have to go down to the garage to close it if i forget  safety,"['able', 'open', 'garage', 'door', 'smartphone/tablet', 'go', 'garage', 'close', 'forget', 'safety']"
14,student,"my smartphone to silence notifications (sounds, doorbells, TVs, etc.) unless it is an emergency",I can study,Health,2.3333,"my smartphone to silence notifications (sounds, doorbells, tvs, etc.) unless it is an emergency i can study health","['smartphone', 'silence', 'notification', 'sound', 'doorbell', 'tv', 'emergency', 'study', 'health']"
17,home occupant,air purity controller,it detects pollution and sensors get active ,Health,3.3333,air purity controller it detects pollution and sensors get active  health,"['air', 'purity', 'controller', 'detects', 'pollution', 'sensor', 'get', 'active', 'health']"
13,movie watcher,my smart home to make recommendations when new movies come out that match my viewing habits,I will benefit from movie suggestions that I will probably enjoy.,Entertainment,4.5,my smart home to make recommendations when new movies come out that match my viewing habits i will benefit from movie suggestions that i will probably enjoy. entertainment,"['make', 'recommendation', 'new', 'movie', 'come', 'match', 'view', 'habit', 'benefit', 'movie', 'suggestion', 'probably', 'enjoy', 'entertainment']"
28,home occupant,the electricity switches off when no one is inside the room,there will be a big saving on electricity bills,Energy,2.0,the electricity switches off when no one is inside the room there will be a big saving on electricity bills energy,"['electricity', 'switch', 'inside', 'room', 'big', 'save', 'electricity', 'bill', 'energy']"
22,home occupant,a smart thermostat,it can manage energy efficiently and predict what type of temperatures we prefer at different times of the year,Energy,2.6667,a smart thermostat it can manage energy efficiently and predict what type of temperatures we prefer at different times of the year energy,"['thermostat', 'manage', 'energy', 'efficiently', 'predict', 'type', 'temperature', 'prefer', 'different', 'time', 'year', 'energy']"
14,pet owner,my smart home to clean the floors regularly,the house is clean,Health,4.0,my smart home to clean the floors regularly the house is clean health,"['clean', 'floor', 'regularly', 'clean', 'health']"
28,music lover,the radio system to adjust volume based on the distance of the people,avoids the use of remote control and saves battery,Entertainment,5.0,the radio system to adjust volume based on the distance of the people avoids the use of remote control and saves battery entertainment,"['radio', 'system', 'adjust', 'volume', 'base', 'distance', 'people', 'avoids', 'use', 'remote', 'control', 'save', 'battery', 'entertainment']"
22,home occupant,a smart coffee machine,my coffee will be ready in the morning when i ask it to be without having to deal with making it myself,Entertainment,4.3333,a smart coffee machine my coffee will be ready in the morning when i ask it to be without having to deal with making it myself entertainment,"['coffee', 'machine', 'coffee', 'ready', 'morning', 'ask', 'deal', 'make', 'entertainment']"
14,pet owner,my smart home to feed and water the pets on a schedule,they are taken care of routinely,Health,2.0,my smart home to feed and water the pets on a schedule they are taken care of routinely health,"['feed', 'water', 'pet', 'schedule', 'take', 'care', 'routinely', 'health']"
22,home occupant,a robot to clean windows,I dont have to risk hurting myself to wash windows in dangerous places ,Safety,2.6667,a robot to clean windows i dont have to risk hurting myself to wash windows in dangerous places  safety,"['robot', 'clean', 'window', 'dont', 'risk', 'hurt', 'wash', 'window', 'dangerous', 'place', 'safety']"
28,home occupant,the central a/c system to switch between cooling and heating based on temperature,there will be no need to manually adjust the system,Energy,3.5,the central a/c system to switch between cooling and heating based on temperature there will be no need to manually adjust the system energy,"['central', 'a/c', 'system', 'switch', 'cool', 'heating', 'base', 'temperature', 'need', 'manually', 'adjust', 'system', 'energy']"
22,home occupant,a smart shower,I can save energy while using it as efficiently as possible,Energy,3.5,a smart shower i can save energy while using it as efficiently as possible energy,"['shower', 'save', 'energy', 'use', 'efficiently', 'possible', 'energy']"
28,parent,the door look to have an automated alarm when someone leaves or enters the room,i can monitor my young child movements at night,Safety,3.0,the door look to have an automated alarm when someone leaves or enters the room i can monitor my young child movements at night safety,"['door', 'look', 'automate', 'alarm', 'someone', 'leaf', 'enters', 'room', 'monitor', 'young', 'child', 'movement', 'night', 'safety']"
22,home occupant,smart carbon monoxide detectors,I can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while I'm away from my home to make sure my family is ok,Safety,4.5,smart carbon monoxide detectors i can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while i'm away from my home to make sure my family is ok safety,"['carbon', 'monoxide', 'detector', 'see', 'amount', 'carbon', 'monoxide', 'room', 'smartphone/tablet', ""'m"", 'away', 'make', 'sure', 'family', 'ok', 'safety']"
25,parent,i want my smart home to buzz when my child is close to an object that can potentially fall,i want my smart home to make dog barking sound when a person ,Health,3.0,i want my smart home to buzz when my child is close to an object that can potentially fall i want my smart home to make dog barking sound when a person  health,"['want', 'buzz', 'child', 'close', 'object', 'potentially', 'fall', 'want', 'make', 'dog', 'barking', 'sound', 'person', 'health']"
28,home occupant,the vacuum cleaner to run automated on scheduled timings,it would help in forgetting to manually vacuum,Safety,3.3333,the vacuum cleaner to run automated on scheduled timings it would help in forgetting to manually vacuum safety,"['vacuum', 'cleaner', 'run', 'automate', 'schedule', 'timing', 'help', 'forget', 'manually', 'safety']"
22,home occupant,a smart touchscreen tv implanted in the wall of each room,I can control each room uniquely and separately. If i want to play music in that room or watch a show I can etc,Entertainment,2.75,a smart touchscreen tv implanted in the wall of each room i can control each room uniquely and separately. if i want to play music in that room or watch a show i can etc entertainment,"['touchscreen', 'tv', 'implant', 'wall', 'room', 'control', 'room', 'uniquely', 'separately', 'want', 'play', 'music', 'room', 'watch', 'show', 'entertainment']"
28,tech lover,a wireless charger for my devices,it wirelessly charges the devices when it falls below the battery limit,Entertainment,3.0,a wireless charger for my devices it wirelessly charges the devices when it falls below the battery limit entertainment,"['wireless', 'charger', 'device', 'wirelessly', 'charge', 'device', 'fall', 'battery', 'limit', 'entertainment']"
22,home occupant,an app to control the shades/blinds on my windows ,I can control them easily at home or while I'm out incase I forgot to close one,Entertainment,4.0,an app to control the shades/blinds on my windows  i can control them easily at home or while i'm out incase i forgot to close one entertainment,"['app', 'control', 'shades/blinds', 'window', 'control', 'easily', ""'m"", 'incase', 'forgot', 'close', 'entertainment']"
28,home occupant,a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit,i benefit of not forgetting to stock the fruits and vegetables,Health,4.3333,a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit i benefit of not forgetting to stock the fruits and vegetables health,"['device', 'organizes', 'kitchen', 'item', 'give', 'alarm', 'place', 'order', 'fall', 'limit', 'benefit', 'forget', 'stock', 'fruit', 'vegetable', 'health']"
24,home occupant,"Adjust temperature in room, based on my location (if near, turn on heater/cooler, if far from home turn of)",Cut energy cost ,Energy,3.0,"adjust temperature in room, based on my location (if near, turn on heater/cooler, if far from home turn of) cut energy cost  energy","['adjust', 'temperature', 'room', 'base', 'location', 'turn', 'heater/cooler', 'far', 'turn', 'cut', 'energy', 'cost', 'energy']"
34,home occupant,a learning thermostat,my home will be energy efficient and comfortable,Energy,1.6667,a learning thermostat my home will be energy efficient and comfortable energy,"['learn', 'thermostat', 'energy', 'efficient', 'comfortable', 'energy']"
26,home owner,to be notified if I accidentally leave the stove or oven on,my family will be safer from fire and carbon monoxide poisioning. ,Safety,2.75,to be notified if i accidentally leave the stove or oven on my family will be safer from fire and carbon monoxide poisioning.  safety,"['notify', 'accidentally', 'leave', 'stove', 'oven', 'family', 'safer', 'fire', 'carbon', 'monoxide', 'poisioning', 'safety']"
34,home occupant,an automatic garage door opener,it's easier and safer to get in and out,Safety,1.25,an automatic garage door opener it's easier and safer to get in and out safety,"['garage', 'door', 'opener', 'easy', 'safer', 'get', 'safety']"
25,i am,i want any time my room is weather adjustment ,so  i am always relax my home,Entertainment,2.5,i want any time my room is weather adjustment  so  i am always relax my home entertainment,"['want', 'time', 'room', 'weather', 'adjustment', 'always', 'relax', 'entertainment']"
28,music lover,my room lighting to change lighting effect based on the time of day,i benefit on a pleasant mood everytime,Health,4.3333,my room lighting to change lighting effect based on the time of day i benefit on a pleasant mood everytime health,"['room', 'light', 'change', 'light', 'effect', 'base', 'time', 'day', 'benefit', 'pleasant', 'mood', 'everytime', 'health']"
34,home occupant,smart locks,my home is secure,Safety,3.5,smart locks my home is secure safety,"['lock', 'secure', 'safety']"
28,home occupant,a smart device that sends out photos of person who enter through the main gate,i would know who have come to home while we are away,Safety,3.3333,a smart device that sends out photos of person who enter through the main gate i would know who have come to home while we are away safety,"['device', 'sends', 'photo', 'person', 'enter', 'main', 'gate', 'know', 'come', 'safety']"
27,home occupant,My smart home to alert me via a specific sound and a text message via mobile phone that someone has approached my car positioned in my driveway.,vehicle-related thefts can be minimized either when we are home or are not.,Safety,4.3333,my smart home to alert me via a specific sound and a text message via mobile phone that someone has approached my car positioned in my driveway. vehicle-related thefts can be minimized either when we are home or are not. safety,"['alert', 'specific', 'sound', 'text', 'message', 'mobile', 'phone', 'someone', 'approach', 'car', 'position', 'driveway', 'vehicle-related', 'theft', 'minimize', 'either', 'safety']"
28,home occupant,to unlock the door from a remote location that has an alert with video feed,the kids don't need to wait when they get to home,Safety,4.0,to unlock the door from a remote location that has an alert with video feed the kids don't need to wait when they get to home safety,"['unlock', 'door', 'remote', 'location', 'video', 'feed', 'kid', 'need', 'wait', 'get', 'safety']"
28,home occupant,a device that greets and welcomes guests at the doorstep,our guests would feel humbled by its gesture,Entertainment,3.5,a device that greets and welcomes guests at the doorstep our guests would feel humbled by its gesture entertainment,"['device', 'greets', 'welcome', 'guest', 'doorstep', 'guest', 'feel', 'humble', 'gesture', 'entertainment']"
34,home occupant,outdoor motion detectors,I have an added measure of security of the property,Safety,1.5,outdoor motion detectors i have an added measure of security of the property safety,"['outdoor', 'motion', 'detector', 'add', 'measure', 'security', 'property', 'safety']"
24,home occupant,"Doors automaticaly lock / relock if I'm near it (NFC, IR bracelet, or something similar)",no need to use key,Safety,2.5,"doors automaticaly lock / relock if i'm near it (nfc, ir bracelet, or something similar) no need to use key safety","['door', 'automaticaly', 'lock', '/', 'relock', ""'m"", 'ir', 'bracelet', 'something', 'similar', 'need', 'use', 'key', 'safety']"
34,home occupant,smart breakfast appliances,it will save me time in the morning.,Health,3.3333,smart breakfast appliances it will save me time in the morning. health,"['breakfast', 'appliance', 'save', 'time', 'morning', 'health']"
38,home occupant,my smart home  to to turn on the tv when I get home,I can relax as soon as possible,Entertainment,2.6667,my smart home  to to turn on the tv when i get home i can relax as soon as possible entertainment,"['turn', 'tv', 'get', 'relax', 'soon', 'possible', 'entertainment']"
34,home occupant,window sensors,I'm aware if a window is open and letting cold/hot air in,Energy,3.0,window sensors i'm aware if a window is open and letting cold/hot air in energy,"['window', 'sensor', ""'m"", 'aware', 'window', 'open', 'let', 'cold/hot', 'air', 'energy']"
34,home occupant,integrated smart electronics,I only need one remote and devices are easy to operate,Entertainment,3.6667,integrated smart electronics i only need one remote and devices are easy to operate entertainment,"['integrate', 'electronics', 'need', 'remote', 'device', 'easy', 'operate', 'entertainment']"
24,home occupant,House vacuum clean itself when I'm not home (like integrated roomba vacuum cleaner),no need to manualy clean,Health,3.6667,house vacuum clean itself when i'm not home (like integrated roomba vacuum cleaner) no need to manualy clean health,"['vacuum', 'clean', ""'m"", 'integrate', 'roomba', 'vacuum', 'cleaner', 'need', 'manualy', 'clean', 'health']"
