rid,uid,role,feature,benefit,novelty_avg
88,28,home occupant,the electricity switches off when no one is inside the room,there will be a big saving on electricity bills,Energy,2.0000
90,22,home occupant,a smart thermostat,it can manage energy efficiently and predict what type of temperatures we prefer at different times of the year,Energy,2.6667
91,14,pet owner,my smart home to clean the floors regularly,the house is clean,Health,4.0000
92,28,music lover,the radio system to adjust volume based on the distance of the people,avoids the use of remote control and saves battery,Entertainment,5.0000
93,22,home occupant,a smart coffee machine,my coffee will be ready in the morning when i ask it to be without having to deal with making it myself,Entertainment,4.3333
94,14,pet owner,my smart home to feed and water the pets on a schedule,they are taken care of routinely,Health,2.0000
95,22,home occupant,a robot to clean windows,I dont have to risk hurting myself to wash windows in dangerous places ,Safety,2.6667
96,28,home occupant,the central a/c system to switch between cooling and heating based on temperature,there will be no need to manually adjust the system,Energy,3.5000
99,22,home occupant,a smart shower,I can save energy while using it as efficiently as possible,Energy,3.5000
100,28,parent,the door look to have an automated alarm when someone leaves or enters the room,i can monitor my young child movements at night,Safety,3.0000
103,22,home occupant,smart carbon monoxide detectors,I can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while I'm away from my home to make sure my family is ok,Safety,4.5000
106,25,parent,i want my smart home to buzz when my child is close to an object that can potentially fall,i want my smart home to make dog barking sound when a person ,Health,3.0000
108,28,home occupant,the vacuum cleaner to run automated on scheduled timings,it would help in forgetting to manually vacuum,Safety,3.3333
110,22,home occupant,a smart touchscreen tv implanted in the wall of each room,I can control each room uniquely and separately. If i want to play music in that room or watch a show I can etc,Entertainment,2.7500
112,28,tech lover,a wireless charger for my devices,it wirelessly charges the devices when it falls below the battery limit,Entertainment,3.0000
114,22,home occupant,an app to control the shades/blinds on my windows ,I can control them easily at home or while I'm out incase I forgot to close one,Entertainment,4.0000
115,28,home occupant,a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit,i benefit of not forgetting to stock the fruits and vegetables,Health,4.3333
121,24,home occupant,"Adjust temperature in room, based on my location (if near, turn on heater/cooler, if far from home turn of)",Cut energy cost ,Energy,3.0000
122,34,home occupant,a learning thermostat,my home will be energy efficient and comfortable,Energy,1.6667
123,26,home owner,to be notified if I accidentally leave the stove or oven on,my family will be safer from fire and carbon monoxide poisioning. ,Safety,2.7500
124,34,home occupant,an automatic garage door opener,it's easier and safer to get in and out,Safety,1.2500
125,25,i am,i want any time my room is weather adjustment ,so  i am always relax my home,Entertainment,2.5000
126,28,music lover,my room lighting to change lighting effect based on the time of day,i benefit on a pleasant mood everytime,Health,4.3333
127,34,home occupant,smart locks,my home is secure,Safety,3.5000
128,28,home occupant,a smart device that sends out photos of person who enter through the main gate,i would know who have come to home while we are away,Safety,3.3333
129,27,home occupant,My smart home to alert me via a specific sound and a text message via mobile phone that someone has approached my car positioned in my driveway.,vehicle-related thefts can be minimized either when we are home or are not.,Safety,4.3333
130,28,home occupant,to unlock the door from a remote location that has an alert with video feed,the kids don't need to wait when they get to home,Safety,4.0000
132,28,home occupant,a device that greets and welcomes guests at the doorstep,our guests would feel humbled by its gesture,Entertainment,3.5000
134,34,home occupant,outdoor motion detectors,I have an added measure of security of the property,Safety,1.5000
136,24,home occupant,"Doors automaticaly lock / relock if I'm near it (NFC, IR bracelet, or something similar)",no need to use key,Safety,2.5000
137,34,home occupant,smart breakfast appliances,it will save me time in the morning.,Health,3.3333
138,38,home occupant,my smart home  to to turn on the tv when I get home,I can relax as soon as possible,Entertainment,2.6667
139,34,home occupant,window sensors,I'm aware if a window is open and letting cold/hot air in,Energy,3.0000
142,34,home occupant,integrated smart electronics,I only need one remote and devices are easy to operate,Entertainment,3.6667
143,24,home occupant,House vacuum clean itself when I'm not home (like integrated roomba vacuum cleaner),no need to manualy clean,Health,3.6667
144,38,parent,my smart home to play a warning sound when my child is close to the stove,he won't burn himself,Safety,3.0000
145,34,home occupant,a robot cleaner,I will not need to wash the floor and sweep myself,Other,4.0000
146,38,parent,my smart home to lower the thermostat at night,I can save expenses paid for air conditioning,Energy,3.0000
147,34,home occupant,smart lights,they are scheduled to dim at night or turn off when no one is in the room,Energy,2.7500
148,25,children,my child don't fear for dark nights ,my child get a peaceful dreams,Energy,3.3333
149,38,parent,my smart home to play a lullaby at bed time,I don't have to sing my children to sleep,Entertainment,4.3333
150,25,home occupant,save my home energy ,the sensors save the home energy ,Energy,1.3333
151,38,home occupant,my smart TV to switch to the sports channel when the sports game begins,I don't miss the game,Energy,3.3333
152,24,home occupant,Home automatically heats precooked meal based on approximate of arrival (based on GPS location),no need to manually cook / heat meal ,Other,4.0000
153,30,occupant,Room thermostats,It Can indicate the outside temperature and room temperature as well so that i can well prepared for it in advance,Safety,3.0000
154,14,person who is introverted,my smart house to screen all forms of communication including visitors,I can focus on what is important at the moment,Safety,3.5000
155,14,person concerned with safety,my smart home to actively and proactively secure itself,"my family and I feel safe, even if we forget to lock a window",Safety,3.0000
156,38,home occupant,my smart home to alert me when I am about to run out of medication,I will never run out of mediaction,Health,3.3333
157,24,parent,"Lights in child bedroom can be controlled automatically, or can be programed",kids sleep earlier,Health,2.3333
160,38,home occupant,my smart home to turn on the sprinkers when there is a fire,the house won't burn down,Safety,2.0000
161,26,movie lover,a projector mounted on the wall that has wifi capabilities to connect to video streaming services (Netflix etc),my family can be entertained without having to fumble with several different electronics. ,Entertainment,2.0000
162,14,dancer,"my smart house to convert a room (move furniture, have mirrors, and have a place for media)",I can exercise and practice for more time rather than rearrange a room on a daily basis,Entertainment,3.0000
163,38,home occupant,my smart home to play my favorite music at 7:45 AM,I can wake up listening to my favorite music,Entertainment,3.0000
165,14,person who wants green energy,my smart home to monitor energy use and excess,we can determine how to be more conscientious of what we use,Energy,3.5000
166,38,home occupant,my smart home to alert me when there is more than one person in the house,I would know if someone is breaking in,Safety,2.3333
167,26,energy conscious consumer,the ability to turn off/on lights in different rooms with voice commands.,I can save energy without having to physically walk over to the room.,Energy,3.3333
168,38,parent,my smart home to alert me when my children are not home by their usual time,I will know if they have gone missing,Safety,3.2500
169,14,person who lives where hurricanes hit,my smart home to activate safety features such as window coverings,the house is safer during inclement weather,Safety,4.3333
170,24,home occupant,Bed automatically makes itself for sleeping and after sleeping,no need to occupant manually make bed,Other,4.0000
171,26,responsible pet owner,to be notified when my dog enters and exits my home ,I can be aware of my dog's whereabouts at all times and therefore be a more responsible pet owner.,Safety,4.0000
173,14,person who lives with family members,"my smart home to remember entertainment preferences, such as music or videos",one does not need to bring a laptop into each room,Entertainment,4.0000
174,24,home occupant,"home automatically check air quality (for elegant, dust, soot etc) and try to improve quality level by automatic intake of fresh air",air quality is on good level,Health,3.0000
175,24,parent,Get early notification when kids are back from school (based on GPS location),know precisely when they arrive,Safety,3.0000
176,27,home occupant,My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,home and/or vehicle-related thefts can be minimized either when we are home or are not,Safety,3.3333
177,24,home occupant,garage door open automatically when I arive with my car,no need to manually open garage dors,Safety,3.3333
178,39,decision maker of home,"my smart home to automatically switch off/on electric gadgets like bulbs, fans, ACs when a person move out or move in the particular affected region of particular gadget.",so that both energy and money can be saved,Energy,3.6667
180,24,home occupant,Fence doors automatically unlock and open when i arrive by foot or by car,no need to manually open / close or lock / unclok,Safety,3.6667
181,39,decision maker of home,my smart home to auto start video recording and sending the same to smarthome when a theft approaches inside home,so that so that I can quickly complain the same with sufficient proof to appropriate authorities,Safety,3.5000
183,37,home occupant,turn electronic devices on or off from anywhere I have an Internet connection.,I can save energy,Energy,3.3333
184,39,health couscous person,"my smart home to sense and inform small or tiny movable living things like mosquitoes, termites.",so that so that we can take appropriate steps to discard them in order to free from material or health loss,Health,4.5000
185,40,home owner,to protect my objects ,my things wont get stolen ,Safety,4.5000
186,27,home occupant,my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door,parcel package-related thefts can be minimized either when we are home or are not,Safety,5.0000
187,40,home owner,my smart home to alarm me if danger,I can be safe,Safety,1.6667
188,39,home owner,my smart home to automatically open doors to those whose faces are already registered in system,so that so that I don't need to open doors manually.,Safety,3.0000
190,40,parent,my smart house to contact the police,I can be safe if my home is broken into ,Safety,1.7500
191,41,home occupant,I want my smart-home to take picture of persons coming near to outside doors between 8 pm to 6 am.And a mobile alert same time.,So that i can recognize unknown persons .,Safety,3.6667
192,40,parent,my smart home to film the house ,I can catch intruders on camera in case of court. ,Safety,3.0000
193,37,home owner,switch on any lights automatically when dark falls and switch off in the morning automatically.,I can save electricity,Energy,3.2000
194,40,home owner,my smart house to have solar panels,I can save money on electricity ,Energy,3.0000
196,40,home owner,my smart home to tell me if food is spoiled in the fridge,i dont eat old food,Safety,3.0000
197,40,home owner,my smart home to tell me the bacteria percentage in my home,I know when to disinfect ,Health,4.6667
198,30,occupant,Revolv (central automation device ),"When we are using  too many home automation devices, opening the right app for the right device can become difficult and counterproductive. This time Revolv become the central automation device for my home.  Just put this device in centre of  home and  connect to  Wi-Fi then let it scan for  other home automation devices. Even if it fails to locate them, we can manually add them through the Revolv app too.",Safety,2.5000
199,40,home owner,my smart home to lock all doors at once ,I dont have to worry about locking all the doors. ,Safety,3.6667
200,39,wife,my smart home to automatically open windows with the help of remote control,smoke can be emit quickly,Other,3.0000
201,27,home occupant,"my smart home to capture a picture, open a communication channel, and alert me via a specific sound and a text message via mobile phone when a person rings my doorbell or knocks on my front or rear door",I may know and may communicate with visitors to my home without having to approach or to open the doors in question,Safety,3.6667
202,37,home occupant,my smart home to take photographs of person and message photo to my mobile phone when he approaches the main door.,thefts can be reduced,Safety,3.0000
204,39,student,my smart home to have a system which can remind me to do a pre manage lists of a day or night,I can't miss any less important task,Other,2.0000
205,41,parent,my smarthome to switch off All the bulbs after 10 pm automaticaly,we can save wastage of electricity,Energy,3.0000
206,42,home occupant,Lights in the front side of my home is on when I am out of station.,thieves will think that people is there in the house.,Safety,2.7500
207,39,home owner,my smart home to inform me quickly when my solar water heater does heat water,I don't need to go everytime in bathroom to check the hotness of water,Other,3.2500
208,42,home occupant,to secure my house and my family when there is a gas leakage.,I am tension free.,Safety,5.0000
209,42,home occupant,"I want to get the Airconditioner off,when the room is empty",I can save energy,Energy,4.0000
210,41,parent,"to switch off TV, Radio and other Leisure gadgets after 10 pm ",no energy is wasted and consume the overuse of electricity,Entertainment,2.0000
211,42,a parents,I want to block strangers from entering my house when the child is alone.,I am tension free.,Safety,4.3333
213,42,home occupant,I want to secure my house during night.,I can sleep peacefully,Safety,2.6667
214,42,home occupant,Keyless Digital Door Lock,I don't have to carry keys with me.,Safety,2.6667
215,42,home occupant,"control my shower''s temperature, spray, steam, audio, and lighting of the shower.",I can save energy,Energy,4.3333
216,42,home occupant,Innovative controls in my kitchen,so that cooking is energy saving & easy ,Energy,2.0000
217,42,home occupant,control the temperature in my room.,I can save energy,Energy,1.0000
218,39,home owner,my smart home to automatically start radio in specific timings ,I can't miss any favorite radio songs ,Entertainment,2.0000
219,27,home occupant,my smart home to automatically open and close my garage door when I approach and leave my home in my car,"vehicle-related weather protection can be maximized, and vehicle thefts can be minimized ",Safety,4.0000
220,42,home occupant,giving voice commands to equipments,i am relaxed,Entertainment,4.0000
221,41,parent,my smarthome clock to alert my child to eat food at regular and correct time,my child can look after his health properly,Health,4.3333
222,43,single woman,alarms to go off when movement is triggered,i can feel safe in my home alone.,Safety,2.6667
223,30,owner,Net alarm system ('smarter' home security system),"As part of the system, window and door fixtures contain motion sensors which alert us when there is a trigger through an accompanying application. This system is easy to set up and connect to  smartphone, and also comes with a keychain hob which allows users to remotely alarm and disarm a system -- as well as a 'panic' button, which if pressed, alerts the connected smartphone to the call for help",Safety,3.6667
224,43,single woman,motion lights,I can see any intruders at night as they approach.,Safety,2.3333
225,43,mother,my coffeemaker to start automatically,my coffee will be ready when I go to wake my son up early in the morning.,Other,1.0000
226,39,home owner,my smart home to have fans whose speed vary with external environment ,both energy and money can be saved,Energy,3.0000
228,41,parent,my washing machine to automatically turn off when the washing is finished,No wastage of electricity and energy is happening,Energy,2.3333
229,43,mother,carbon monoxide detectors with self-testing capacity,I know my alarms are on and functioning to keep my kids safe.,Safety,3.6667
230,43,bill payer,lights to automatically turn off when no motion is detected in a room,I will save on bills.,Energy,3.6667
231,41,parent,to keep a buzz on electric wires and other sockets,my children is alerted when touching them accidently,Safety,3.3333
232,43,bill payer,a thermostat that learns my schedule and self-adjusts,I know I am saving as much as possible on my home heating costs.,Energy,4.0000
233,30,occupant,Multipurpose bathroom appliace like shower,"It can automatically sense the room temperature and  according to temperature ,it change the temperature of water so that we will not have any discomfort while bathing.",Health,4.3333
234,43,mother,an oven that preheats at set intervals,I can be ready to cook dinner when I get my son home from school.,Energy,2.0000
235,39,home owner,my smart home to have dynamic solar panels which can be set just opposite to the sun,so that maximum electricity can be generated. ,Energy,4.3333
236,37,home occupant,A/C automatically maintain the perfect temperature by calculating  past usage patterns.,can be save on energy costs,Energy,2.6667
237,43,parent,wireless access to emergency services,I can still call for help if my phone lines are cut.,Safety,2.3333
238,43,home owner,remote wireless access to surveillance cameras,I can keep an eye on my home in real time even when I am away.,Safety,4.0000
239,41,parent,to set an alarm on all the water pipes ,it automatically alerts when there is a water wastage,Safety,4.5000
240,41,parent,to get an alert when there is water spilled over the floor,home occupant is alerted and don't fall off,Safety,3.5000
242,41,home occupant,my A/C to automatically on if the temperature fall down a mentioned room temperature,the temperature is well maintained all the time,Entertainment,3.3333
243,30,occupant,Auto sensing music system,It can sense automatically my mood and play the song as per my mood,Entertainment,4.0000
244,27,home occupant,"my smart home to notify me via text message when my internet service bandwidth declines below a pre-specified speed, and also keeps track of bandwidth outages and speed reductions",I may be notified of internet service provider outages and bandwidth reductions which will affect the use of my smart home technologies,Safety,3.0000
245,37,home occupant,Thermostat show temperature from across the room and give recommend to heat or cool the room. ,can be save on energy costs,Energy,3.0000
246,41,home occupant,my doors to lock up automatically after a mentioned time,we can prevent theft and other burglary ,Safety,3.3333
247,27,home occupant,my smart home to notify me via text message when regular tests of my various installed smart home technologies indicate a specific technology malfunction or failure,may know without manual testing that my various installed smart home technologies are completely functional and operative,Safety,4.0000
248,37,home occupant,open door using my smart phones,can increase my home safety,Safety,3.5000
249,37,home occupant,a doorbell camera let me to see and talk to the visors at front door. ,can save time,Other,3.5000
250,27,home occupant,my smart home to automatically water my front and rear lawn areas at pre-specified times each day,I do not have to manually water my lawn,Other,1.2500
251,37,home occupant,to open front gate of my home automatically when my vehicle approach to gate and close after vehicle pass the gate,can be save time,Other,2.0000
253,37,home occupant,coffee machine is controllable from mobile and tablet.,can be save time,Other,1.0000
254,37,home occupant,smart device to clean your windows automatically,can be save time,Other,4.3333
255,27,home occupant,"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day",I do not have to manually adjust these items each evening,Safety,3.5000
256,46,home occupant,my smart home to manage electicity of home. when some activity or movement is going on the lights get auto on for some specific time but if there is no activity going on like room is vacant or people are sleeping then it can auto sensor and switch off the lights and also maintain the brightness of lights.,energy can be saved in less effort,Energy,3.3333
257,37,home occupant,smart snowlance to clean snow on my home roof automatically,can be save time,Other,5.0000
258,46,temperature controller home occupant,my smart home to monitor my body temprature and manage the home temprature according to that.,people living in home stay fit and healthy,Health,4.0000
259,46,home guard,my home to blink a red bulb whenever someone is starring for more then one minute to the home,i can closely monitor who is keeping eye on me or my home,Safety,4.3333
260,46,entertainer,my home to play soothing music while evening time,i can relax,Entertainment,3.5000
261,46,time manager,my smart home to ring bell in all over the home ,so that all member can wake at time.,Entertainment,2.8333
262,37,home occupant,my smart home to make sound the alarm in the moments before a big tremor strikes,can be save life,Safety,4.5000
263,46,assistant,my smart home to have voice command feature to operate activities from bathrooms ,even if i am alone in home and in bathroom i can manage the activities,Other,4.0000
264,46,cleaner,my home floors to be auto cleaner when anything spills.,i can manage cleanniness and good health,Health,3.7500
265,46,entertainer,my smart home to be full of sunlight and moonlight by transparent walls whenever i need it i can manage the opesity,i can enjoy the nature,Entertainment,4.5000
266,27,home occupant,"my smart home to collect and manage the various power requirements of my smart appliances, heating and cooling technologies, and my security and access systems, and I wish to be alerted via text message via mobile phone when power-related problems, spikes or failures occur","I may have alternate back-up power sources automatically activated, or manually activate them myself",Energy,3.3333
267,46,assistant,my smart home to give alert if anything is on the floor apart from usual things like if my key is lost somewhere my smart house should give me an alert of direction where i should search it.,it can save my time to search things,Other,4.6667
268,46,entertainer,my smart home to change the fragrence of home in every few hours,i can enjoy the fregrances,Entertainment,4.2500
269,49,temperature control,it to maintain the temperature and ask person at home or other place if the temperature should be higher or lower.,A person can be comfortable and not too cold or too hot.,Health,1.6667
270,49,gardner,it to run a lawn mower if the grass is getting too high and out of control.,the grass is maintained and looking nice.,Other,4.0000
271,49,protector,it to watch people who get close to the house and alert the homeowner if they are suspicious.,the homeowner knows if someone might break in or might steal something outside like mail.,Safety,3.0000
272,49,energy saver,it to check each room and turn off lights if a person is not in the room,the electricty isn't being used when it is not needed.,Energy,2.0000
273,49,grocery organizer,it to check the contents of the refirgerator and inform user if the milk is too old or when to get new food.,food can be thrown out when old or food can be bought when running out.,Safety,4.6667
274,51,home occupant,my smarthome to beep when there is a rodent inside my home,there won't be any damage to my household things,Safety,3.0000
275,51,housewife,my smarthome to automatically turn on the television whenever my favorite show is telecast. ,I don't miss my favorite shows,Entertainment,4.0000
276,49,news informer,it to turn on the TV to the news channel of the user's choice when important news is happening,the user can be aware when major news is happening which the user would want to hear about right away.,Entertainment,2.3333
277,51,home occupant,my smarthome to alert me when there is water flooding in my home during the rainy season,I can save my belongings,Safety,4.6667
278,49,maid,it to prepare the bath when a user wants it at a perfect temperature and with bubbles if needed.,the user doesn't have to wait for a bath to have it at a perfect temperature.,Health,4.0000
279,51,dog owner,my smarthome to buzz me whenever my dog poops inside my home,I can clean the faeces quickly and keep my home clean,Health,4.0000
280,49,cook,it to prepeare the coffee in the morning before user wakes up,the user can have a fresh hot coffee when they get up.,Health,3.3333
281,51,housewife,my smarthome to alert me whenever someone sets up a spycam inside my home. ,I won't be monitored,Safety,2.6667
282,49,parent,"it to remind the person to go to bed at a specific time for school,work or special occasion",the user will get enough sleep and not forget about when they have to go to sleep.,Health,2.0000
283,51,home occupant,my smarthome to automatically turn off the lights whenever I leave my home,I can save money on energy bills,Energy,4.0000
284,51,home occupant,my smarthome to alert me whenever there is a gas leak inside my home,I can save myself,Safety,2.6667
285,49,maid,it to wash the dishes at the best time available,the dishes will get washed at a time when appliances are not used often in the neighborhood.,Energy,3.0000
286,51,housewife,my smarthome to alert me whenever the amount of milk in my fridge is too low,I can get them from the supermarket and enjoy a wholesome breakfast,Health,4.0000
287,49,energy monitor,it to turn on the outside lights at night and turn them off in the morning also dim lights when light isn't needed so bright,energy is saved and safety at night is observed with light to deter burglary,Safety,2.0000
288,51,professional,my smarthome to play some music after I come back from work,I can relax and relieve my stress,Entertainment,2.6667
289,51,home occupant,my smarthome to give an update on the weather when I am about to leave my home,I can carry an umbrella and avoid the rains,Safety,3.6667
290,49,health monitor,it to monitor people with health problems so if something is wrong the medical emergency agents gets called,people who might fall and can't get help will be able to get help or someone who passes out because a disease can get help fast.,Health,2.7500
291,49,cooker,it to turn on the oven at a specific time agreed upon by a person,dinner can be ready at a specific time before the home owner gets home or they forget.,Health,3.5000
292,53,parent,dangerous doors to stay locked,my child will be safe.,Safety,3.5000
293,53,parent,channels to be safe,my child wont watch bad stuff,Entertainment,2.0000
294,53,home owner,doors to stay locked,thiefs don't enter,Safety,1.6667
295,53,home owner,cameras to record,i can see what happens,Safety,2.3333
296,53,home owner,items to save energy,my bills arent high,Energy,1.6667
297,53,home owner,lights to dim when i'm gone,i save energy,Energy,2.5000
298,53,home owner,alarms to be in place,i know whats going on,Safety,2.6667
299,53,home owner,detectors installed,i know when a fire happens,Safety,1.0000
300,53,mother,health scales installed,i can stay healthy,Health,3.6667
301,53,mother,high tech learning,my child can learn,Entertainment,2.0000
302,56,parent,to know when someone is trying to break into my home.,I can protect my family on the inside.,Safety,1.6667
303,56,parent,something to warn me if there is an electrical problem in the wall,I can get it fixed before my house burns down.,Safety,3.3333
304,56,pet owner,something that alerts me when my dog gets too close to dangerous foods or things,I can get the dog away from whatever is there.,Safety,4.0000
305,54,home occupant,radiator thermostats,I can control the temperature of the house easily even when I am away from home.,Energy,2.6667
306,61,home occupant,my smart home to alert authorities when it detects the presence of carbon monoxide or fire.,they can respond quickly and prevent loss of life or damage to the home.,Safety,3.2500
307,56,energy saving person,an alert my refrigerator is acting funny,so I can have it serviced so I can save money.,Energy,3.0000
308,54,home occupant,smart lights that change throughout the time of day,lights will automatically come on when needed when I come home.,Energy,3.6667
310,56,parent,my refrigerator to let me know when food is bad,I can toss it to keep my family from becoming ill.,Health,4.0000
311,60,home occupant,My smart house to turn the lights off after there is no movment in a room for 20 min,I can save money on light bulbs and electricity.,Energy,1.5000
313,56,mother,my television to warn me when a rated R movie is coming on,I can stop it before my children see it,Entertainment,3.0000
